Symbol,AtomicMass
H,1007
He,4002
Li,6941
Be,9012
B,10811
C,12011
N,14007
O,15999
F,18998
Ne,20.18
Na,22.99
Mg,24305
Al,26982
Si,28086
P,30974
S,32065
Cl,35453
Ar,39948
K,39098
Ca,40078
Sc,44956
Ti,47867
V,50942
Cr,51996
Mn,54938
Fe,55845
Co,58933
Ni,58693
Cu,63546
Zn,65.38
Ga,69723
Ge,72.64
As,74922
Se,78.96
Br,79904
Kr,83798
Rb,85468
Sr,87.62
Y,88906
Zr,91224
Nb,92906
Mo,95.96
Tc,98
Ru,101.07
Rh,102906
Pd,106.42
Ag,107868
Cd,112411
In,114818
Sn,118.71
Sb,121.76
Te,127.6
I,126904
Xe,131293
Cs,132905
Ba,137327
La,138905
Ce,140116
Pr,140908
Nd,144242
Pm,145
Sm,150.36
Eu,151964
Gd,157.25
Tb,158925
Dy,162.5
Ho,164.93
Er,167259
Tm,168934
Yb,173054
Lu,174967
Hf,178.49
Ta,180948
W,183.84
Re,186207
Os,190.23
Ir,192217
Pt,195084
Au,196967
Hg,200.59
Tl,204383
Pb,207.2
Bi,208.98
Po,210
At,210
Rn,222
Fr,223
Ra,226
Ac,227
Th,232038
Pa,231036
U,238029
Np,237
Pu,244
Am,243
Cm,247
Bk,247
Cf,251
Es,252
Fm,257
Md,258
No,259
Lr,262
Rf,261
Db,262
Sg,266
Bh,264
Hs,267
Mt,268
Ds ,271
Rg ,272
Cn ,285
Nh,284
Fl,289
Mc,288
Lv,292
Ts,295
Og,294
